"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total by Tenure","Rented Dwellings","Owned Dwellings","Low Income Population","High Shelter Costs"
"West Humber-Clairville",1.0,"N/A",33312.0,10130.0,3050.0,7075.0,7590.0,3270.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,9610.0,5070.0,4540.0,11540.0,3715.0
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,3225.0,1145.0,2080.0,2350.0,1065.0
"Rexdale-Kipling",4.0,"N/A",10529.0,3945.0,1935.0,2010.0,2170.0,1185.0
"Elms-Old Rexdale",5.0,"N/A",9456.0,3225.0,1315.0,1910.0,2790.0,1080.0
"Kingsview Village-The Westway",6.0,"N/A",22000.0,7655.0,3675.0,3975.0,6760.0,2730.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,8145.0,3540.0,4605.0,3490.0,2645.0
"Humber Heights-Westmount",8.0,"N/A",10948.0,3930.0,1350.0,2585.0,1780.0,1325.0
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,6020.0,2790.0,3230.0,1660.0,1900.0
"Princess-Rosethorn",10.0,"N/A",11051.0,3885.0,595.0,3290.0,950.0,750.0
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,6900.0,1060.0,5840.0,2130.0,1555.0
"Markland Wood",12.0,"N/A",10554.0,4365.0,1090.0,3280.0,990.0,1060.0
"Etobicoke West Mall",13.0,"N/A",11848.0,4045.0,1790.0,2250.0,2020.0,1695.0
"Islington-City Centre West",14.0,"N/A",43965.0,16250.0,6290.0,9955.0,11590.0,6380.0
"Kingsway South",15.0,"N/A",9271.0,3505.0,535.0,2965.0,470.0,685.0
"Stonegate-Queensway",16.0,"N/A",25051.0,10425.0,3565.0,6860.0,3080.0,2830.0
"Mimico",17.0,"N/A",33964.0,13680.0,6185.0,7490.0,4390.0,7080.0
"New Toronto",18.0,"N/A",11463.0,5170.0,3005.0,2160.0,2410.0,2105.0
"Long Branch",19.0,"N/A",10084.0,4515.0,2245.0,2270.0,1520.0,1700.0
"Alderwood",20.0,"N/A",12054.0,4665.0,1030.0,3635.0,1090.0,1005.0
"Humber Summit",21.0,"N/A",12416.0,3790.0,1045.0,2745.0,3330.0,1235.0
"Humbermede",22.0,"N/A",15545.0,5115.0,2455.0,2660.0,4030.0,1895.0
"Pelmo Park-Humberlea",23.0,"N/A",10722.0,2975.0,450.0,2525.0,1430.0,1165.0
"Black Creek",24.0,"N/A",21737.0,7250.0,4855.0,2390.0,7940.0,2695.0
"Glenfield-Jane Heights",25.0,"N/A",30491.0,10000.0,5055.0,4950.0,9610.0,3285.0
"Downsview-Roding-CFB",26.0,"N/A",35052.0,13265.0,7125.0,6145.0,7750.0,4385.0
"York University Heights",27.0,"N/A",27593.0,10315.0,5660.0,4650.0,7950.0,4080.0
"Rustic",28.0,"N/A",9941.0,3655.0,2160.0,1495.0,2980.0,1205.0
"Maple Leaf",29.0,"N/A",10111.0,3555.0,1565.0,1990.0,1770.0,1005.0
"Brookhaven-Amesbury",30.0,"N/A",17757.0,6390.0,3730.0,2660.0,4780.0,2615.0
"Yorkdale-Glen Park",31.0,"N/A",14804.0,5240.0,2280.0,2965.0,2850.0,1645.0
"Englemount-Lawrence",32.0,"N/A",22372.0,8135.0,4690.0,3445.0,5360.0,3005.0
"Clanton Park",33.0,"N/A",16472.0,5540.0,2610.0,2925.0,2560.0,2235.0
"Bathurst Manor",34.0,"N/A",15873.0,6020.0,2790.0,3230.0,2620.0,2175.0
"Westminster-Branson",35.0,"N/A",26274.0,10095.0,6040.0,4055.0,6540.0,4710.0
"Newtonbrook West",36.0,"N/A",23831.0,8620.0,3730.0,4890.0,6690.0,4135.0
"Willowdale West",37.0,"N/A",16936.0,6680.0,2120.0,4555.0,3050.0,3475.0
"Lansing-Westgate",38.0,"N/A",16164.0,5985.0,2460.0,3525.0,12430.0,2535.0
"Bedford Park-Nortown",39.0,"N/A",23236.0,8715.0,2755.0,5960.0,2440.0,2320.0
"St.Andrew-Windfields",40.0,"N/A",17812.0,6460.0,2180.0,4290.0,3350.0,2170.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9266.0,3005.0,200.0,2805.0,810.0,740.0
"Banbury-Don Mills",42.0,"N/A",27695.0,11770.0,4735.0,7035.0,3790.0,4045.0
"Victoria Village",43.0,"N/A",17510.0,7285.0,4205.0,3085.0,4320.0,2820.0
"Flemingdon Park",44.0,"N/A",21933.0,8035.0,4280.0,3755.0,7800.0,3520.0
"Parkwoods-Donalda",45.0,"N/A",34805.0,13140.0,7775.0,5365.0,7200.0,4925.0
"Pleasant View",46.0,"N/A",15818.0,5525.0,1310.0,4215.0,3540.0,1805.0
"Don Valley Village",47.0,"N/A",27051.0,9750.0,4735.0,5010.0,7040.0,4065.0
"Hillcrest Village",48.0,"N/A",16934.0,6545.0,1485.0,5060.0,4350.0,2260.0
"Bayview Woods-Steeles",49.0,"N/A",13154.0,4720.0,1930.0,2795.0,3080.0,1810.0
"Newtonbrook East",50.0,"N/A",16097.0,6230.0,2015.0,4210.0,4600.0,2945.0
"Willowdale East",51.0,"N/A",50434.0,19635.0,6120.0,13515.0,13330.0,11140.0
"Bayview Village",52.0,"N/A",21396.0,7375.0,2565.0,4805.0,4250.0,4320.0
"Henry Farm",53.0,"N/A",15723.0,4095.0,2650.0,1450.0,4220.0,3085.0
"O'Connor-Parkview",54.0,"N/A",18675.0,7400.0,3805.0,3600.0,3910.0,2830.0
"Thorncliffe Park",55.0,"N/A",21108.0,6710.0,6105.0,610.0,8700.0,3570.0
"Leaside-Bennington",56.0,"N/A",16828.0,6550.0,1770.0,4780.0,930.0,1415.0
"Broadview North",57.0,"N/A",11499.0,5615.0,3695.0,1915.0,2150.0,2275.0
"Old East York",58.0,"N/A",9233.0,3855.0,1185.0,2670.0,1120.0,1100.0
"Danforth-East York",59.0,"N/A",17180.0,6950.0,1945.0,5005.0,2340.0,1900.0
"Woodbine-Lumsden",60.0,"N/A",7865.0,3485.0,1095.0,2380.0,1100.0,1100.0
"Taylor-Massey",61.0,"N/A",15683.0,6295.0,4035.0,2260.0,5180.0,2770.0
"East End-Danforth",62.0,"N/A",21381.0,9115.0,4185.0,4930.0,3520.0,2870.0
"The Beaches",63.0,"N/A",21567.0,9375.0,3140.0,6240.0,1760.0,2710.0
"Woodbine Corridor",64.0,"N/A",12541.0,5205.0,1965.0,3250.0,1770.0,1560.0
"Greenwood-Coxwell",65.0,"N/A",14417.0,6005.0,2285.0,3715.0,2920.0,1970.0
"Danforth",66.0,"N/A",9666.0,3905.0,1410.0,2490.0,1400.0,1190.0
"Playter Estates-Danforth",67.0,"N/A",7804.0,3535.0,1865.0,1665.0,870.0,1335.0
"North Riverdale",68.0,"N/A",11916.0,5150.0,2200.0,2945.0,1380.0,1305.0
"Blake-Jones",69.0,"N/A",7727.0,3235.0,1480.0,1760.0,2040.0,970.0
"South Riverdale",70.0,"N/A",27876.0,10740.0,4105.0,6635.0,5440.0,3745.0
